ObjectId,X,Y,ELEVATION,kryield19,SlopeDEg_m,Analytical,AspectDeg_,AspectClas,krVWC8_29,krVWC5_31,krVWC6_25a,krVWC4_29,krslopedeg,Kr19NDVI_m,Kr18NDVI_m,TWI,VWCchange,Aspect.x,Aspect.y
13608,436506.5,4849858,5023.169,143.2727,3.488514,56.0862,95.37733,2,9.55512,22.59478,19.59899,21.2497,5.852328,0.9,0.84,3.356614,11.69458,0.42706639547114944,0.9042202684408704
11307,436412.8,4849933,5014.892,121.6414,15.77085,10.6549,301.1509,4,6.229016,20.68166,20.2902,20.09895,16.7633,0.89,0.77,4.0348,13.86993,0.9039002233213616,-0.427743364974365
1953,436393.1,4850225,4980.386,110.4288,1.488546,40.85634,358.4929,1,9.61174,25.53776,22.06579,24.00339,3.792551,0.91,0.83,9.009346,14.39165,0.93891325012066,0.34415390270612795
3408,436328.9,4850170,4975.278,135.202,22.89696,34.07858,275.287,4,9.710559,27.39265,24.07143,25.44784,22.6526,0.89,0.79,3.821168,15.73728,0.38724614750739356,-0.9219763669642959
8637,436402.9,4850012,5003.212,130.1898,18.20094,42.3136,258.6002,4,5.364132,18.15667,17.92674,17.91281,25.27692,0.9,0.82,5.39984,12.54868,0.5490222164205075,0.8358077565305992
5718,436531.2,4850101,5016.735,110.0425,5.639628,23.44717,314.5996,4,7.836719,21.47348,18.64917,17.57296,6.150895,0.91,0.81,6.009293,9.736236,0.9046090757461519,0.42624220823106285
6126,436402.9,4850086,4995.02,113.2738,7.048304,23.34352,339.905,1,5.676602,18.31509,17.48586,18.98313,8.582439,0.9,0.78,4.677795,13.30653,0.8179295196714393,0.575318434304037
10011,436442.4,4849972,5014.422,125.0291,25.51017,91.7069,79.85148,2,6.324204,21.11035,20.97203,20.05353,17.89709,0.91,0.84,2.407323,13.72932,-0.25624227293689705,-0.9666125891794152
11253,436324,4849933,4997.67,106.7417,7.63868,27.05555,351.8584,1,6.131478,20.26641,20.03579,19.51019,7.663575,0.87,0.76,5.212016,13.37871,0.9999999997401269,2.2797943172688674e-5
5454,436363.5,4850106,4993.992,118.7113,7.743359,24.34958,345.9092,1,8.466585,21.64604,21.1582,19.61194,9.921624,0.9,0.82,4.26899,11.14536,0.9447359494529921,0.3278322525486983
11703,436531.2,4849923,5021.25,122.3982,14.38486,67.70407,58.03168,2,9.838726,23.94369,22.21496,22.16742,10.50446,0.91,0.85,4.784036,12.32869,0.08767139012594696,0.9961494503102354
3012,436383.2,4850185,4985.989,121.9369,10.33393,71.07943,81.36008,2,8.985531,24.72679,23.03617,23.59817,8.231742,0.9,0.83,2.839963,14.61264,0.9488165230624238,-0.31582780999103455
4188,436363.5,4850146,4989.205,137.0587,7.289404,18.10961,319.769,1,9.591812,25.4293,24.18449,23.43588,8.189091,0.9,0.84,3.754464,13.84407,0.7816741882870278,-0.6236869914995953
2967,436541,4850190,5009.245,110.4489,25.14639,31.80761,281.004,4,10.1346,20.76532,18.84214,16.97673,19.61423,0.9,0.81,5.090934,6.842123,-0.1677456764193823,-0.9858303038771956
6909,436333.9,4850061,4985.896,136.3066,12.84229,21.52409,283.8549,4,6.019981,21.62855,19.24142,18.07368,19.24266,0.88,0.79,6.229015,12.0537,0.44326263131490484,0.8963917891635257
