X,Y
436328.9,4850334
436333.9,4850334
436338.8,4850334
436343.7,4850334
436348.7,4850334
436353.6,4850334
436358.5,4850334
436363.5,4850334
436328.9,4850329
436333.9,4850329
436338.8,4850329
436343.7,4850329
436348.7,4850329
436353.6,4850329
436358.5,4850329
436363.5,4850329
436368.4,4850329
436373.3,4850329
436378.3,4850329
436383.2,4850329
436328.9,4850324
436333.9,4850324
436338.8,4850324
436343.7,4850324
436348.7,4850324
436353.6,4850324
436358.5,4850324
436363.5,4850324
436368.4,4850324
436373.3,4850324
436378.3,4850324
436383.2,4850324
436388.1,4850324
436393.1,4850324
436398,4850324
436328.9,4850319
436333.9,4850319
436338.8,4850319
436343.7,4850319
436348.7,4850319
436353.6,4850319
436358.5,4850319
436363.5,4850319
436368.4,4850319
436373.3,4850319
436378.3,4850319
436383.2,4850319
436388.1,4850319
436393.1,4850319
436398,4850319
436402.9,4850319
436407.9,4850319
436412.8,4850319
436328.9,4850314
436333.9,4850314
436338.8,4850314
436343.7,4850314
436348.7,4850314
436353.6,4850314
436358.5,4850314
436363.5,4850314
436368.4,4850314
436373.3,4850314
436378.3,4850314
436383.2,4850314
436388.1,4850314
436393.1,4850314
436398,4850314
436402.9,4850314
436407.9,4850314
436412.8,4850314
436417.7,4850314
436422.7,4850314
436328.9,4850309
436333.9,4850309
436338.8,4850309
436343.7,4850309
436348.7,4850309
436353.6,4850309
436358.5,4850309
436363.5,4850309
436368.4,4850309
436373.3,4850309
436378.3,4850309
436383.2,4850309
436388.1,4850309
436393.1,4850309
436398,4850309
436402.9,4850309
436407.9,4850309
436412.8,4850309
436417.7,4850309
436422.7,4850309
436427.6,4850309
436432.5,4850309
436328.9,4850304
436333.9,4850304
436338.8,4850304
436343.7,4850304
436348.7,4850304
436353.6,4850304
436358.5,4850304
436363.5,4850304
436368.4,4850304
436373.3,4850304
436378.3,4850304
436383.2,4850304
436388.1,4850304
436393.1,4850304
436398,4850304
436402.9,4850304
436407.9,4850304
436412.8,4850304
436417.7,4850304
436422.7,4850304
436427.6,4850304
436432.5,4850304
436437.4,4850304
436442.4,4850304
436328.9,4850299
436333.9,4850299
436338.8,4850299
436343.7,4850299
436348.7,4850299
436353.6,4850299
436358.5,4850299
436363.5,4850299
436368.4,4850299
436373.3,4850299
436378.3,4850299
436383.2,4850299
436388.1,4850299
436393.1,4850299
436398,4850299
436402.9,4850299
436407.9,4850299
436412.8,4850299
436417.7,4850299
436422.7,4850299
436427.6,4850299
436432.5,4850299
436437.4,4850299
436442.4,4850299
436447.3,4850299
436452.2,4850299
436328.9,4850294
436333.9,4850294
436338.8,4850294
436343.7,4850294
436348.7,4850294
436353.6,4850294
436358.5,4850294
436363.5,4850294
436368.4,4850294
436373.3,4850294
436378.3,4850294
436383.2,4850294
